Group,First Date,Last Date,Txs,No. Contracts,No. Chains,Contracts List,Chains List,Overall,Count,First Date Spread Variance,Last Date Spread Variance,First Date Clustering Score,Last Date Clustering Score
KW,2.090212954,4.717787895,0.129663846,0,0.030448864,0,0.047719164,0.06327074,113,0.095562407,0.094883897,0.08438748,0.084013823
CL,2.189942946,0.360098587,0.188321839,0,0.086125951,0,0.074398451,0.102414424,87,0.085827926,0.023001408,0.066783751,0.02620219
AK,2.20153903,9.744946945,0.162117955,0,0.089451964,0,0.082490965,0.098587661,104,0.094087614,0.130824925,0.056813647,0.15807618
LT,2.213653782,7.363450012,0.264567774,0,0.042383488,0,0.04832723,0.105732551,59,0.071061348,0.085654614,0.062207548,0.103067426
EI,2.318353152,7.580621302,0.255730558,0,0.083946488,0,0.077997444,0.12329079,52,0.068272225,0.08159023,0.047486748,0.089492257
HS,2.318448794,37.91162494,0.310817308,0,0.041618497,0,0.048640245,0.119448358,65,0.076332243,0.203998495,0.036296384,0.23981058
HB,2.325954721,2.776933936,0.406281057,0,0.117820772,0,0.116139548,0.189596091,63,0.075270273,0.054354704,0.067218479,0.065548503
BY,2.360849062,2.431466786,0.153323076,0,0.08664245,0,0.076012033,0.092844352,109,0.099747025,0.06690083,0.082517684,0.072004414
BC,2.379800302,0.042733652,0.07229221,0,0.083910035,0,0.071957174,0.066788709,96,0.093984982,0.008323475,0.074220869,0.003037022
EQ,2.382607062,10.01750329,0.111826227,0,0.044226044,0,0.043506008,0.05918281,44,0.063665645,0.086276034,0.034827366,0.080643854
FW,2.416604937,1.888541123,0.233537948,0,0.052419368,0,0.065695489,0.105452327,301,0.167702164,0.097978448,0.142079701,0.111410477
BN,2.443299775,0.415002254,0.089504037,0,0.08994344,0,0.077661034,0.075342645,55,0.07208125,0.01963318,0.057876556,0.024267654
FA,2.446368628,0.340122895,0.212550607,0,0.014702749,0,0.023901141,0.075105323,52,0.070131836,0.017282386,0.064929198,0.019068568
FN,2.541179688,36.4329375,0.302997602,0,0.092254686,0,0.093192863,0.145013465,80,0.088657457,0.221858552,0.05525357,0.259300024
M,2.631796998,9.287587949,0.202634245,0,0.071967655,0,0.15613054,0.135974615,105,0.103364982,0.128330594,0.093935207,0.14471522
HI,2.706329827,786.5728775,0.172109444,0,0.073656271,0,0.087096994,0.102941673,22,0.047979343,0.540586144,0.023512485,0.308234593
FP,2.708559423,8.666903192,0.272727273,0,0.099538431,0,0.094674136,0.138057599,66,0.083136884,0.098285177,0.074766788,0.115362927
LF,2.749696,183.128064,0.158571429,0,0.125878136,0,0.134909103,0.126248097,25,0.051554305,0.278055533,0.038156156,0.319446361
FU,2.800096321,8.403668588,0.214328627,0,0.050018614,0,0.063860701,0.098602526,233,0.158824331,0.181842965,0.142182236,0.198672713
IY,2.932475582,3.365890308,0.216783217,0,0.061279461,0,0.071081444,0.104449607,22,0.049943748,0.035362699,0.048656666,0.044745233
HF,2.975957926,2.071844478,0.319786096,0,0.105620521,0,0.117245986,0.162042305,22,0.050312665,0.027744315,0.04146115,0.03336104
AY,3.009797352,2.216860787,0.323032672,0,0.051033712,0,0.056526517,0.127952629,91,0.102906288,0.05836789,0.076016006,0.068190473
FX,3.010704733,5.650945154,0.207757029,0,0.045590231,0,0.045842778,0.088656683,55,0.080014375,0.072447929,0.066898502,0.076386306
CV,3.281463623,1.622558594,0.173429319,0,0.063120347,0,0.064990645,0.089639084,32,0.063717889,0.029611422,0.05671714,0.02143521
KK,3.438149731,13.44520584,0.230812325,0,0.0777667,0,0.082452412,0.116467648,51,0.082337954,0.107610067,0.062642327,0.123911036
HN,3.452466472,21.5015277,0.19852851,0,0.042450914,0,0.083481456,0.1001808,70,0.096664352,0.159429162,0.088987911,0.166059634
AA,3.484128,3.832008,0.134545455,0,0.113959484,0,0.112261535,0.107169811,50,0.08207004,0.056882974,0.071547972,0.049790112
FK,3.537449533,23.17680204,0.40081043,0,0.068404797,0,0.073739828,0.161288554,43,0.0766888,0.129731389,0.049916798,0.148260719
P,3.560966088,10.46751878,0.397938035,0,0.143561188,0,0.15216483,0.206612086,93,0.113156103,0.128217538,0.087843336,0.141875927
DJ,3.634752187,137.5825073,0.30652921,0,0.089063057,0,0.097921423,0.147640832,35,0.070133258,0.285167296,0.056277984,0.30574804
FE,3.636244898,10.40055977,0.285714286,0,0.06934943,0,0.108347532,0.141129278,35,0.070147658,0.078405488,0.052304177,0.084292269
EV,3.6955,17.9495,0.257142857,0,0.107692308,0,0.107266168,0.140126071,20,0.053456952,0.077861947,0.043500504,0.091156423
EZ,3.751691336,20.81446554,0.181961651,0,0.044857228,0,0.062819312,0.087648278,29,0.064858237,0.100963807,0.055988949,0.110252849
IB,3.781661908,55.38103681,0.31722099,0,0.075039411,0,0.072314116,0.137551235,55,0.089675805,0.226801526,0.081188957,0.247127784
ES,3.794287138,8.570774898,0.192552645,0,0.055944056,0,0.062892828,0.093017138,132,0.13915687,0.138223249,0.114562062,0.140335206
DZ,3.937679543,9.585018196,0.281674041,0,0.077470433,0,0.115847256,0.144547425,113,0.131163198,0.135244552,0.104475006,0.161652949
AC,3.97133801,14.78421971,0.227025009,0,0.080919112,0,0.141943047,0.139434268,57,0.093553156,0.119294581,0.077866756,0.132730338
CK,4.055296,1.875584,0.237142857,0,0.088590604,0,0.070577302,0.115827339,25,0.062608583,0.028139887,0.049279857,0.032108695
FH,4.128051286,6.218624147,0.165886288,0,0.07924761,0,0.086987263,0.099390838,23,0.060588339,0.04914679,0.034923946,0.044325655
BF,4.1328,3.496552,0.13027933,0,0.061006289,0,0.058404251,0.073903902,50,0.089384,0.054336178,0.079336633,0.068291823
ED,4.17262874,43.86199878,0.306775875,0,0.100681782,0,0.100508349,0.150766965,34,0.074062253,0.158696648,0.056534886,0.194223174
T,4.218098958,30.51273148,0.399171271,0,0.096327684,0,0.093677377,0.174384319,24,0.06256286,0.11120652,0.056776141,0.118233549
DM,4.230024599,3.516758154,0.399155146,0,0.078622816,0,0.073466702,0.16271094,56,0.095701347,0.05766992,0.088867363,0.066643805
KQ,4.240333135,100.7565474,0.334374209,0,0.06117553,0,0.087744089,0.146026821,41,0.081986908,0.264126911,0.073258688,0.289838936
KG,4.338528814,71.27593874,0.302508164,0,0.095136373,0,0.09598922,0.146698216,74,0.111413981,0.298449887,0.090730077,0.345898116
BH,4.43150195,4.747740195,0.165010165,0,0.085653105,0,0.071906536,0.09449602,76,0.11411293,0.078061044,0.096579324,0.081402762
ID,4.486671256,24.89741254,0.204801423,0,0.048151104,0,0.052684357,0.091083192,84,0.120713087,0.187932044,0.092438865,0.202417804
AF,4.523171328,19.37504004,0.165848336,0,0.091240401,0,0.147209944,0.125595904,39,0.082585996,0.112963384,0.062545338,0.11688573
GP,4.581424406,9.958435686,0.209225153,0,0.107471162,0,0.088212962,0.118425395,49,0.093164593,0.090777389,0.064732893,0.096290096
DL,4.659787099,17.25777985,0.142091381,0,0.09915533,0,0.079679404,0.093600295,69,0.111496227,0.141808118,0.103330611,0.101329645
AL,4.695812505,3.030967387,0.232600733,0,0.077931062,0,0.067781118,0.111221976,182,0.181778978,0.096518466,0.159264335,0.110923646
FQ,4.721375,6.267375,0.278761062,0,0.062962963,0,0.064144977,0.120360047,20,0.060422938,0.046008908,0.037901109,0.044704958
JN,4.721969424,10.20214469,0.304788548,0,0.080955178,0,0.112925484,0.150931157,97,0.133076093,0.129275341,0.099524501,0.157008975
IZ,4.75148688,26.51325948,0.188902007,0,0.024016563,0,0.039220561,0.076178085,35,0.080186522,0.125184243,0.058074652,0.082627396
L,5.023029886,16.83373682,0.254882155,0,0.082949309,0,0.139000108,0.146918698,66,0.113215904,0.13697658,0.089181597,0.152291066
DD,5.056097454,3.067375333,0.267711473,0,0.071067821,0,0.067591305,0.120103244,63,0.110976387,0.057126527,0.083342172,0.066275274
CH,5.143130466,0.112062682,0.164162207,0,0.071428571,0,0.075322387,0.092679207,56,0.105526218,0.010294579,0.079363848,0.005461429
JB,5.157504,131.789184,0.262695035,0,0.049584665,0,0.06875589,0.115168179,25,0.070606126,0.235881551,0.066887203,0.224328183
LD,5.161702624,43.77611953,0.249433107,0,0.102380952,0,0.0918322,0.130795431,70,0.118194727,0.227484461,0.10716068,0.248470872
KS,5.23481883,20.22955165,0.22240961,0,0.047026279,0,0.063461476,0.100279424,129,0.16158397,0.209928822,0.137802757,0.219545523
FI,5.263599537,182.8558304,0.229927007,0,0.050488599,0,0.074765081,0.108242969,24,0.06988752,0.272235096,0.050437712,0.279464673
GO,5.467683204,0.08010924,0.087029759,0,0.045584046,0,0.060131623,0.058684453,26,0.074138012,0.005930783,0.029685202,0.004000399
AD,5.543205223,18.65079512,0.252353617,0,0.087749288,0,0.123449863,0.141037869,52,0.105568595,0.127977739,0.086795701,0.150544179
BX,5.862168952,4.781602179,0.150527009,0,0.075757576,0,0.075381332,0.08958724,44,0.099863801,0.059606984,0.070437145,0.062380256
HH,5.900277008,8.029450357,0.084210526,0,0.067765981,0,0.061540007,0.062963716,19,0.065836327,0.050757917,0.057918904,0.058492629
GX,5.998542274,8.837645773,0.213450292,0,0.085630744,0,0.083387745,0.113323557,28,0.080585048,0.064644473,0.062421004,0.072838216
I,6.200134277,13.3122406,0.223690476,0,0.084365016,0,0.127099057,0.133319119,64,0.123863436,0.119949834,0.10478637,0.120330977
EC,6.329074036,25.16448425,0.178800233,0,0.090013534,0,0.083262007,0.104012542,51,0.111714042,0.147218772,0.080611242,0.177516433
KD,6.721015597,12.06030131,0.149898503,0,0.04851752,0,0.050033775,0.073896043,112,0.17060001,0.151033114,0.146508743,0.176298161
X,6.853515625,21.22562211,0.206439394,0,0.051020408,0,0.050663744,0.091360481,24,0.079747103,0.092751282,0.068441548,0.12062013
ER,6.89558363,146.6286578,0.363333333,0,0.054813292,0,0.078834939,0.149945735,21,0.074825177,0.228035868,0.057628421,0.286370507
AS,6.961658066,3.126509104,0.240292329,0,0.085598336,0,0.090443231,0.123997326,71,0.138241395,0.061227018,0.13398078,0.06212596
IX,7.459000926,7.120451513,0.273556231,0,0.079145637,0,0.085938173,0.130733501,49,0.118875118,0.076760164,0.11325695,0.093150508
BP,7.557162817,6.265472179,0.185434097,0,0.053511706,0,0.058627623,0.088762936,23,0.081977732,0.049331567,0.071365261,0.052504921
